;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;<---------------------------Produktion----------------------->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tid;Total förbrukning;Vindkraft;Vattenkraft;Kärnkraft;Övr.värmekraft;Ospec. prod.;Solkraft;Energilager;Total produktion;Import/export;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.3.2024 10:00;-18498,88;2289,36;11288,77;6930,95;1384,89;5,24;421,58;0,00;22320,79;-3821,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.3.2024 11:00;-18009,31;1666,48;11530,27;6929,29;1365,06;3,87;573,42;0,00;22068,39;-4058,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.3.2024 12:00;-17765,35;1179,63;11438,33;6931,99;1334,61;4,34;658,18;0,00;21547,08;-3781,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.3.2024 13:00;-17456,47;874,81;11572,66;6934,51;1316,17;5,04;625,92;0,00;21329,11;-3872,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.3.2024 14:00;-17198,61;650,72;11355,47;6932,82;1302,49;3,99;485,44;0,00;20730,93;-3531,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.3.2024 15:00;-17292,00;526,00;11166,20;6933,50;1289,36;3,13;251,22;0,00;20169,41;-2876,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.3.2024 16:00;-17706,05;545,00;11309,41;6932,88;1307,49;1,80;67,15;0,00;20163,73;-2457,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.3.2024 17:00;-18546,16;646,10;11676,39;6931,67;1341,19;12,48;5,53;0,00;20613,37;-2066,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.3.2024 18:00;-18775,99;878,61;11620,87;6928,80;1350,32;2,40;1,92;0,00;20782,92;-2006,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.3.2024 19:00;-18528,72;1120,48;11287,10;6928,18;1351,99;2,26;1,69;0,00;20691,70;-2162,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.3.2024 20:00;-18058,63;1221,79;10742,15;6925,58;1340,48;1,46;1,27;0,00;20232,73;-2173,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.3.2024 21:00;-17512,85;1223,36;10730,33;6926,05;1326,66;1,17;2,21;0,00;20209,78;-2696,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.3.2024 22:00;-16630,14;1260,34;10564,11;6928,55;1276,95;1,21;1,23;0,00;20032,39;-3401,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.3.2024 23:00;-15967,22;1225,90;10431,21;6930,65;1186,93;1,53;1,17;0,00;19777,40;-3809,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 0:00;-15615,18;1310,81;10293,63;6934,46;1119,55;1,50;1,04;0,00;19661,01;-4045,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 1:00;-15385,37;1411,05;10026,39;6934,48;1106,40;1,61;0,95;0,00;19480,89;-4095,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 2:00;-15317,67;1456,78;9979,12;6935,37;1092,06;2,47;0,90;0,00;19466,70;-4148,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 3:00;-15404,93;1432,28;9996,04;6935,64;1092,32;2,58;0,96;0,00;19459,83;-4054,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 4:00;-15482,53;1188,37;10097,42;6937,26;1096,91;2,71;0,95;0,00;19323,63;-3840,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 5:00;-16045,48;1105,02;10309,95;6935,96;1169,44;1,62;1,05;0,00;19523,04;-3477,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 6:00;-17430,03;886,76;10768,91;6934,84;1229,35;1,53;1,69;0,00;19823,08;-2392,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 7:00;-18563,55;824,07;11432,61;6935,17;1274,53;1,24;7,47;0,00;20475,09;-1910,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 8:00;-18953,01;727,88;11795,96;6933,69;1251,31;2,35;22,55;0,00;20733,73;-1780,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 9:00;-18934,72;633,63;11936,51;6934,29;1236,82;3,59;44,67;0,00;20789,51;-1854,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 10:00;-18777,74;547,34;11858,41;6932,96;1202,17;1,82;69,67;0,00;20612,37;-1834,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 11:00;-18716,68;623,28;11695,43;6933,78;1186,36;3,21;89,73;0,00;20531,79;-1814,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 12:00;-18442,63;748,75;11032,89;6929,36;1180,43;3,84;95,42;0,00;19990,69;-1547,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 13:00;-18350,88;1060,23;10846,38;6927,48;1177,43;3,33;86,83;0,00;20101,66;-1750,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 14:00;-18231,84;1457,36;10670,35;6929,02;1165,26;11,18;71,24;0,00;20304,41;-2072,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 15:00;-18189,75;1954,80;10548,91;6928,65;1149,73;6,13;47,33;0,00;20635,55;-2445,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 16:00;-18250,25;2709,56;10088,69;6930,92;1149,00;5,55;18,27;0,00;20901,99;-2651,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 17:00;-18721,71;3581,15;9913,05;6928,75;1146,36;5,50;3,68;0,00;21578,49;-2856,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 18:00;-18937,86;4794,83;9652,99;6925,22;1153,72;16,65;1,47;0,00;22544,88;-3606,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 19:00;-18603,20;5819,31;9355,60;6925,05;1142,52;7,51;1,29;0,00;23251,28;-4647,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 20:00;-18085,27;6730,88;8396,50;6926,98;1080,27;13,04;1,14;0,00;23148,81;-5063,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 21:00;-17407,51;7499,16;7537,74;6927,21;970,76;12,37;2,00;0,00;22949,24;-5541,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 22:00;-16657,44;8276,61;6718,25;6928,10;898,53;13,44;1,14;0,00;22836,08;-6178,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.3.2024 23:00;-15975,40;8513,92;5914,41;6929,69;868,66;20,66;1,42;0,00;22248,76;-6272,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 0:00;-15336,19;8761,23;5496,23;6928,24;844,91;18,84;1,05;0,00;22050,50;-6713,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 1:00;-15032,47;9073,54;4990,14;6928,61;826,36;17,49;0,95;0,00;21837,09;-6804,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 2:00;-14664,39;8903,64;4356,65;6930,65;819,56;15,20;0,95;0,00;21026,66;-6361,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 3:00;-14645,25;8694,74;4039,16;6929,85;809,58;16,89;0,96;0,00;20491,18;-5845,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 4:00;-14690,59;8730,88;3775,28;6930,75;805,64;19,87;1,00;0,00;20263,42;-5572,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 5:00;-15285,35;9078,16;4440,98;6930,06;826,01;19,18;1,12;0,00;21295,51;-6009,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 6:00;-16644,89;9307,36;5040,30;6929,79;863,54;18,74;2,11;0,00;22161,86;-5516,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 7:00;-17751,61;8918,95;5875,22;6930,12;882,81;20,92;12,89;0,00;22640,91;-4888,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 8:00;-18028,65;8599,85;6166,12;6925,87;898,79;22,21;39,97;0,00;22652,81;-4623,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 9:00;-17930,57;8364,56;6432,56;6927,43;878,21;30,22;81,97;0,00;22714,94;-4783,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 10:00;-17714,75;8161,46;6491,14;6926,62;850,85;38,26;137,02;0,00;22605,35;-4889,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 11:00;-17576,96;8034,95;6527,70;6927,52;821,50;28,95;197,58;0,00;22538,20;-4960,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 12:00;-17403,58;8032,76;6311,71;6925,18;802,95;18,71;241,18;0,00;22332,49;-4928,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 13:00;-17283,03;8311,64;5956,44;6927,08;770,79;25,02;242,94;0,00;22233,90;-4950,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 14:00;-17168,69;8645,59;5789,21;6929,06;768,28;20,31;197,11;0,00;22349,57;-5180,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 15:00;-17194,65;8832,47;5691,64;6913,38;794,68;22,94;121,40;0,00;22376,53;-5181,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 16:00;-17270,36;9303,76;5496,48;6922,95;805,84;31,14;36,77;0,00;22596,96;-5326,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 17:00;-17820,95;9601,87;5368,88;6932,21;805,60;31,36;5,68;0,00;22745,60;-4924,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 18:00;-17805,63;9737,92;5071,29;6932,52;818,70;28,58;1,57;0,00;22590,58;-4784,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 19:00;-17541,28;10200,36;4387,72;6933,48;816,51;19,81;1,37;0,00;22359,26;-4817,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 20:00;-17124,12;10498,73;3622,42;6932,72;768,25;17,92;1,17;0,00;21841,21;-4716,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 21:00;-16596,46;10305,76;3301,90;6928,34;748,80;17,32;2,45;0,00;21304,58;-4707,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 22:00;-15782,66;9917,29;3055,25;6925,97;718,02;17,78;1,09;0,00;20635,42;-4852,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3.2024 23:00;-15133,32;9842,44;2962,25;6927,50;713,91;16,39;1,22;0,00;20463,72;-5330,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 0:00;-14599,19;9763,97;2902,99;6931,43;699,73;18,31;1,17;0,00;20317,61;-5718,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 1:00;-14199,25;9399,44;3083,36;6935,21;684,96;15,96;1,01;0,00;20119,94;-5920,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 2:00;-14060,67;9201,58;3156,99;6935,63;679,53;14,19;0,99;0,00;19988,91;-5928,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 3:00;-13985,52;9025,09;3177,36;6936,48;650,43;16,74;1,03;0,00;19807,13;-5821,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 4:00;-14075,78;8640,08;3243,96;6937,53;654,92;13,53;1,07;0,00;19491,09;-5415,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 5:00;-14467,02;8338,04;3792,04;6936,12;680,43;15,10;1,12;0,00;19762,85;-5296,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 6:00;-15659,52;7364,63;5211,37;6933,53;773,32;13,00;2,77;0,00;20298,61;-4638,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 7:00;-16797,52;6131,67;6714,98;6932,63;851,97;11,32;26,13;0,00;20668,70;-3870,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 8:00;-16899,86;4835,21;7920,33;6931,90;880,95;18,24;108,59;0,00;20695,22;-3794,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 9:00;-16621,02;4314,28;8585,78;6932,08;895,80;30,43;225,19;0,00;20983,57;-4362,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 10:00;-16510,47;4163,68;8674,85;6932,78;909,00;31,36;311,15;0,00;21022,83;-4512,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 11:00;-16188,25;3933,92;8065,40;6686,16;923,30;34,53;355,58;0,00;19998,89;-3810,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 12:00;-16121,80;3858,06;7883,28;6470,27;912,34;23,65;329,08;0,00;19476,68;-3355,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 13:00;-15887,99;3807,40;8111,81;6398,33;903,06;19,75;251,83;0,00;19492,17;-3603,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 14:00;-15777,41;3663,68;8947,17;6397,73;916,80;26,59;180,58;0,00;20132,54;-4354,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 15:00;-15865,31;3616,30;9734,70;6396,85;922,55;23,76;80,20;0,00;20774,36;-4908,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 16:00;-16048,58;3817,18;9788,89;6397,38;936,16;32,91;23,79;0,00;20996,31;-4947,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 17:00;-16558,65;4080,06;9858,92;6396,05;950,33;15,02;5,52;0,00;21305,90;-4746,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 18:00;-16734,20;4321,77;9975,66;6393,55;951,45;11,67;2,18;0,00;21656,28;-4921,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 19:00;-16250,45;4415,93;9709,67;6392,66;951,46;30,34;1,51;0,00;21501,56;-5250,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 20:00;-15487,29;4403,25;9266,08;6393,31;940,13;13,88;1,39;0,00;21018,04;-5530,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 21:00;-14853,91;4438,40;9008,10;6395,52;906,04;13,28;2,70;0,00;20764,04;-5909,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 22:00;-14245,70;4493,09;8639,23;6396,83;875,61;11,12;1,26;0,00;20417,13;-6171,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.3.2024 23:00;-13777,31;5066,98;8115,73;6396,87;867,16;13,51;1,30;0,00;20461,56;-6683,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.3.2024 0:00;-13327,39;5561,06;7396,84;6396,89;858,08;14,08;1,28;0,00;20228,22;-6900,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.3.2024 1:00;-13102,54;5746,23;7288,95;6399,91;844,34;13,89;1,21;0,00;20294,53;-7193,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.3.2024 2:00;-12991,65;5655,62;6991,06;6398,65;849,82;14,55;1,21;0,00;19910,91;-6918,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.3.2024 3:00;-12946,43;5902,26;6812,82;6398,51;854,70;17,17;1,18;0,00;19986,64;-7039,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.3.2024 4:00;-12972,52;6483,82;6502,36;6398,09;847,28;15,16;1,16;0,00;20247,87;-7275,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.3.2024 5:00;-13125,08;7298,54;6169,17;6396,17;857,99;14,84;1,15;0,00;20737,85;-7612,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.3.2024 6:00;-13323,75;8101,92;6117,14;6395,69;860,66;12,93;2,93;0,00;21491,27;-8167,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.3.2024 7:00;-13835,84;8350,80;6295,67;6395,60;872,68;14,24;13,81;0,00;21942,79;-8106,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.3.2024 8:00;-14387,89;8245,00;6431,27;6396,37;871,33;17,91;56,55;0,00;22018,43;-7630,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.3.2024 9:00;-14877,81;8389,11;6700,31;6397,41;879,38;18,37;124,36;0,00;22508,94;-7632,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.3.2024 10:00;-15178,38;8645,64;6691,28;6398,18;887,46;32,61;217,12;0,00;22872,29;-7693,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.3.2024 11:00;-15291,26;8699,84;6530,98;6397,01;868,05;28,60;366,13;0,00;22890,62;-7600,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.3.2024 12:00;-15316,39;8576,54;5702,51;6396,95;838,08;44,96;457,42;0,00;22016,46;-6699,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.3.2024 13:00;-15341,63;8426,48;4776,50;6396,17;832,71;27,42;450,35;0,00;20909,63;-5569,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.3.2024 14:00;-15521,99;8701,25;4450,57;6162,61;841,12;26,99;345,52;0,00;20528,05;-5005,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
