Date/Time SNT;MBA;Load Profile [MWh]
01.01.2024/23:15;SE1, SE2, SE3, SE4;-1466,580992
01.01.2024/23:30;SE1, SE2, SE3, SE4;-1465,89382
01.01.2024/23:45;SE1, SE2, SE3, SE4;-1465,82194
02.01.2024/00:00;SE1, SE2, SE3, SE4;-1434,889806
02.01.2024/00:15;SE1, SE2, SE3, SE4;-1425,479504
02.01.2024/00:30;SE1, SE2, SE3, SE4;-1425,010741
02.01.2024/00:45;SE1, SE2, SE3, SE4;-1421,990402
02.01.2024/01:00;SE1, SE2, SE3, SE4;-1410,85643
02.01.2024/01:15;SE1, SE2, SE3, SE4;-1401,906031
02.01.2024/01:30;SE1, SE2, SE3, SE4;-1397,503163
02.01.2024/01:45;SE1, SE2, SE3, SE4;-1402,015562
02.01.2024/02:00;SE1, SE2, SE3, SE4;-1403,784118
02.01.2024/02:15;SE1, SE2, SE3, SE4;-1402,871293
02.01.2024/02:30;SE1, SE2, SE3, SE4;-1398,894646
02.01.2024/02:45;SE1, SE2, SE3, SE4;-1395,643428
02.01.2024/03:00;SE1, SE2, SE3, SE4;-1403,490547
02.01.2024/03:15;SE1, SE2, SE3, SE4;-1407,956016
02.01.2024/03:30;SE1, SE2, SE3, SE4;-1402,397106
02.01.2024/03:45;SE1, SE2, SE3, SE4;-1410,138273
02.01.2024/04:00;SE1, SE2, SE3, SE4;-1431,754993
02.01.2024/04:15;SE1, SE2, SE3, SE4;-1424,790838
02.01.2024/04:30;SE1, SE2, SE3, SE4;-1422,0011
02.01.2024/04:45;SE1, SE2, SE3, SE4;-1427,257884
02.01.2024/05:00;SE1, SE2, SE3, SE4;-1470,481994
02.01.2024/05:15;SE1, SE2, SE3, SE4;-1477,185812
02.01.2024/05:30;SE1, SE2, SE3, SE4;-1472,537517
02.01.2024/05:45;SE1, SE2, SE3, SE4;-1473,848332
02.01.2024/06:00;SE1, SE2, SE3, SE4;-1533,642472
02.01.2024/06:15;SE1, SE2, SE3, SE4;-1539,052828
02.01.2024/06:30;SE1, SE2, SE3, SE4;-1532,770762
02.01.2024/06:45;SE1, SE2, SE3, SE4;-1536,114946
02.01.2024/07:00;SE1, SE2, SE3, SE4;-1592,434452
02.01.2024/07:15;SE1, SE2, SE3, SE4;-1600,174114
02.01.2024/07:30;SE1, SE2, SE3, SE4;-1602,545212
02.01.2024/07:45;SE1, SE2, SE3, SE4;-1603,697294
02.01.2024/08:00;SE1, SE2, SE3, SE4;-1654,502498
02.01.2024/08:15;SE1, SE2, SE3, SE4;-1658,401403
02.01.2024/08:30;SE1, SE2, SE3, SE4;-1662,574476
02.01.2024/08:45;SE1, SE2, SE3, SE4;-1665,735683
02.01.2024/09:00;SE1, SE2, SE3, SE4;-1687,212732
02.01.2024/09:15;SE1, SE2, SE3, SE4;-1698,187046
02.01.2024/09:30;SE1, SE2, SE3, SE4;-1699,674436
02.01.2024/09:45;SE1, SE2, SE3, SE4;-1696,579891
02.01.2024/10:00;SE1, SE2, SE3, SE4;-1721,338521
02.01.2024/10:15;SE1, SE2, SE3, SE4;-1722,985623
02.01.2024/10:30;SE1, SE2, SE3, SE4;-1731,879385
02.01.2024/10:45;SE1, SE2, SE3, SE4;-1731,91298
02.01.2024/11:00;SE1, SE2, SE3, SE4;-1744,45905
02.01.2024/11:15;SE1, SE2, SE3, SE4;-1749,3538
02.01.2024/11:30;SE1, SE2, SE3, SE4;-1754,130358
02.01.2024/11:45;SE1, SE2, SE3, SE4;-1757,318459
02.01.2024/12:00;SE1, SE2, SE3, SE4;-1768,862474
02.01.2024/12:15;SE1, SE2, SE3, SE4;-1772,391989
02.01.2024/12:30;SE1, SE2, SE3, SE4;-1772,444111
02.01.2024/12:45;SE1, SE2, SE3, SE4;-1769,809109
02.01.2024/13:00;SE1, SE2, SE3, SE4;-1775,294064
02.01.2024/13:15;SE1, SE2, SE3, SE4;-1772,926696
02.01.2024/13:30;SE1, SE2, SE3, SE4;-1771,310309
02.01.2024/13:45;SE1, SE2, SE3, SE4;-1769,315133
02.01.2024/14:00;SE1, SE2, SE3, SE4;-1782,66561
02.01.2024/14:15;SE1, SE2, SE3, SE4;-1785,221251
02.01.2024/14:30;SE1, SE2, SE3, SE4;-1793,232397
02.01.2024/14:45;SE1, SE2, SE3, SE4;-1795,763453
02.01.2024/15:00;SE1, SE2, SE3, SE4;-1841,097434
02.01.2024/15:15;SE1, SE2, SE3, SE4;-1844,732768
02.01.2024/15:30;SE1, SE2, SE3, SE4;-1853,836054
02.01.2024/15:45;SE1, SE2, SE3, SE4;-1868,64374
02.01.2024/16:00;SE1, SE2, SE3, SE4;-1921,270002
02.01.2024/16:15;SE1, SE2, SE3, SE4;-1936,618111
02.01.2024/16:30;SE1, SE2, SE3, SE4;-1955,684775
02.01.2024/16:45;SE1, SE2, SE3, SE4;-1956,593896
02.01.2024/17:00;SE1, SE2, SE3, SE4;-1996,416128
02.01.2024/17:15;SE1, SE2, SE3, SE4;-2008,272582
02.01.2024/17:30;SE1, SE2, SE3, SE4;-2005,491536
02.01.2024/17:45;SE1, SE2, SE3, SE4;-1999,864628
02.01.2024/18:00;SE1, SE2, SE3, SE4;-1995,891304
02.01.2024/18:15;SE1, SE2, SE3, SE4;-1993,98323
02.01.2024/18:30;SE1, SE2, SE3, SE4;-1991,242536
02.01.2024/18:45;SE1, SE2, SE3, SE4;-1981,342675
02.01.2024/19:00;SE1, SE2, SE3, SE4;-1950,815407
02.01.2024/19:15;SE1, SE2, SE3, SE4;-1949,68306
02.01.2024/19:30;SE1, SE2, SE3, SE4;-1945,357003
02.01.2024/19:45;SE1, SE2, SE3, SE4;-1932,553804
02.01.2024/20:00;SE1, SE2, SE3, SE4;-1890,324518
02.01.2024/20:15;SE1, SE2, SE3, SE4;-1879,266789
02.01.2024/20:30;SE1, SE2, SE3, SE4;-1881,054778
02.01.2024/20:45;SE1, SE2, SE3, SE4;-1871,18833
02.01.2024/21:00;SE1, SE2, SE3, SE4;-1827,879238
02.01.2024/21:15;SE1, SE2, SE3, SE4;-1816,009035
02.01.2024/21:30;SE1, SE2, SE3, SE4;-1805,23889
02.01.2024/21:45;SE1, SE2, SE3, SE4;-1807,443257
02.01.2024/22:00;SE1, SE2, SE3, SE4;-1748,28871
02.01.2024/22:15;SE1, SE2, SE3, SE4;-1744,961856
02.01.2024/22:30;SE1, SE2, SE3, SE4;-1739,907082
02.01.2024/22:45;SE1, SE2, SE3, SE4;-1726,440969
02.01.2024/23:00;SE1, SE2, SE3, SE4;-1673,386273
02.01.2024/23:15;SE1, SE2, SE3, SE4;-1666,829409
02.01.2024/23:30;SE1, SE2, SE3, SE4;-1662,988976
02.01.2024/23:45;SE1, SE2, SE3, SE4;-1651,815652
03.01.2024/00:00;SE1, SE2, SE3, SE4;-1617,998007
03.01.2024/00:15;SE1, SE2, SE3, SE4;-1617,309891
03.01.2024/00:30;SE1, SE2, SE3, SE4;-1606,810985
03.01.2024/00:45;SE1, SE2, SE3, SE4;-1606,879579
03.01.2024/01:00;SE1, SE2, SE3, SE4;-1591,587878
03.01.2024/01:15;SE1, SE2, SE3, SE4;-1583,465647
03.01.2024/01:30;SE1, SE2, SE3, SE4;-1578,443011
03.01.2024/01:45;SE1, SE2, SE3, SE4;-1577,13961
03.01.2024/02:00;SE1, SE2, SE3, SE4;-1570,651122
03.01.2024/02:15;SE1, SE2, SE3, SE4;-1569,651385
03.01.2024/02:30;SE1, SE2, SE3, SE4;-1568,40612
03.01.2024/02:45;SE1, SE2, SE3, SE4;-1570,238393
03.01.2024/03:00;SE1, SE2, SE3, SE4;-1573,585803
03.01.2024/03:15;SE1, SE2, SE3, SE4;-1571,293063
03.01.2024/03:30;SE1, SE2, SE3, SE4;-1570,62778
03.01.2024/03:45;SE1, SE2, SE3, SE4;-1569,975546
03.01.2024/04:00;SE1, SE2, SE3, SE4;-1588,037843
03.01.2024/04:15;SE1, SE2, SE3, SE4;-1588,079629
03.01.2024/04:30;SE1, SE2, SE3, SE4;-1587,064936
03.01.2024/04:45;SE1, SE2, SE3, SE4;-1587,626773
03.01.2024/05:00;SE1, SE2, SE3, SE4;-1618,858634
03.01.2024/05:15;SE1, SE2, SE3, SE4;-1621,992388
03.01.2024/05:30;SE1, SE2, SE3, SE4;-1625,606191
03.01.2024/05:45;SE1, SE2, SE3, SE4;-1629,497209
03.01.2024/06:00;SE1, SE2, SE3, SE4;-1677,400191
03.01.2024/06:15;SE1, SE2, SE3, SE4;-1682,533605
03.01.2024/06:30;SE1, SE2, SE3, SE4;-1685,658814
03.01.2024/06:45;SE1, SE2, SE3, SE4;-1689,296619
03.01.2024/07:00;SE1, SE2, SE3, SE4;-1740,361478
03.01.2024/07:15;SE1, SE2, SE3, SE4;-1743,973642
03.01.2024/07:30;SE1, SE2, SE3, SE4;-1750,852832
03.01.2024/07:45;SE1, SE2, SE3, SE4;-1756,248578
03.01.2024/08:00;SE1, SE2, SE3, SE4;-1791,769168
03.01.2024/08:15;SE1, SE2, SE3, SE4;-1798,955756
03.01.2024/08:30;SE1, SE2, SE3, SE4;-1797,662734
03.01.2024/08:45;SE1, SE2, SE3, SE4;-1797,825466
03.01.2024/09:00;SE1, SE2, SE3, SE4;-1817,754323
03.01.2024/09:15;SE1, SE2, SE3, SE4;-1820,522334
03.01.2024/09:30;SE1, SE2, SE3, SE4;-1822,43379
03.01.2024/09:45;SE1, SE2, SE3, SE4;-1826,035904
03.01.2024/10:00;SE1, SE2, SE3, SE4;-1847,8257
03.01.2024/10:15;SE1, SE2, SE3, SE4;-1852,359245
03.01.2024/10:30;SE1, SE2, SE3, SE4;-1853,406241
03.01.2024/10:45;SE1, SE2, SE3, SE4;-1854,008289
03.01.2024/11:00;SE1, SE2, SE3, SE4;-1867,009713
03.01.2024/11:15;SE1, SE2, SE3, SE4;-1873,089317
03.01.2024/11:30;SE1, SE2, SE3, SE4;-1877,165554
03.01.2024/11:45;SE1, SE2, SE3, SE4;-1882,053096
03.01.2024/12:00;SE1, SE2, SE3, SE4;-1893,00488
03.01.2024/12:15;SE1, SE2, SE3, SE4;-1893,753504
03.01.2024/12:30;SE1, SE2, SE3, SE4;-1894,156402
03.01.2024/12:45;SE1, SE2, SE3, SE4;-1891,127862
03.01.2024/13:00;SE1, SE2, SE3, SE4;-1884,487001
03.01.2024/13:15;SE1, SE2, SE3, SE4;-1884,173288
03.01.2024/13:30;SE1, SE2, SE3, SE4;-1887,956649
03.01.2024/13:45;SE1, SE2, SE3, SE4;-1891,18609
03.01.2024/14:00;SE1, SE2, SE3, SE4;-1894,896529
03.01.2024/14:15;SE1, SE2, SE3, SE4;-1900,857197
03.01.2024/14:30;SE1, SE2, SE3, SE4;-1899,836336
03.01.2024/14:45;SE1, SE2, SE3, SE4;-1902,482798
03.01.2024/15:00;SE1, SE2, SE3, SE4;-1939,185078
03.01.2024/15:15;SE1, SE2, SE3, SE4;-1950,641683
03.01.2024/15:30;SE1, SE2, SE3, SE4;-1962,207282
03.01.2024/15:45;SE1, SE2, SE3, SE4;-1974,721679
03.01.2024/16:00;SE1, SE2, SE3, SE4;-2033,374001
03.01.2024/16:15;SE1, SE2, SE3, SE4;-2043,571637
03.01.2024/16:30;SE1, SE2, SE3, SE4;-2054,965524
03.01.2024/16:45;SE1, SE2, SE3, SE4;-2067,755027
03.01.2024/17:00;SE1, SE2, SE3, SE4;-2101,459125
03.01.2024/17:15;SE1, SE2, SE3, SE4;-2105,947153
03.01.2024/17:30;SE1, SE2, SE3, SE4;-2110,503207
03.01.2024/17:45;SE1, SE2, SE3, SE4;-2109,295483
03.01.2024/18:00;SE1, SE2, SE3, SE4;-2095,745434
03.01.2024/18:15;SE1, SE2, SE3, SE4;-2095,566529
03.01.2024/18:30;SE1, SE2, SE3, SE4;-2087,750138
03.01.2024/18:45;SE1, SE2, SE3, SE4;-2083,394477
03.01.2024/19:00;SE1, SE2, SE3, SE4;-2055,665097
03.01.2024/19:15;SE1, SE2, SE3, SE4;-2051,950438
03.01.2024/19:30;SE1, SE2, SE3, SE4;-2044,12913
03.01.2024/19:45;SE1, SE2, SE3, SE4;-2040,199652
03.01.2024/20:00;SE1, SE2, SE3, SE4;-1993,105709
03.01.2024/20:15;SE1, SE2, SE3, SE4;-1988,242658
03.01.2024/20:30;SE1, SE2, SE3, SE4;-1978,406098
03.01.2024/20:45;SE1, SE2, SE3, SE4;-1976,01785
03.01.2024/21:00;SE1, SE2, SE3, SE4;-1917,313443
03.01.2024/21:15;SE1, SE2, SE3, SE4;-1914,194999
03.01.2024/21:30;SE1, SE2, SE3, SE4;-1911,468042
03.01.2024/21:45;SE1, SE2, SE3, SE4;-1905,040503
03.01.2024/22:00;SE1, SE2, SE3, SE4;-1846,504651
03.01.2024/22:15;SE1, SE2, SE3, SE4;-1837,212712
03.01.2024/22:30;SE1, SE2, SE3, SE4;-1823,519145
03.01.2024/22:45;SE1, SE2, SE3, SE4;-1815,473076
03.01.2024/23:00;SE1, SE2, SE3, SE4;-1763,300227
03.01.2024/23:15;SE1, SE2, SE3, SE4;-1756,630385
03.01.2024/23:30;SE1, SE2, SE3, SE4;-1747,394328
03.01.2024/23:45;SE1, SE2, SE3, SE4;-1739,516161
04.01.2024/00:00;SE1, SE2, SE3, SE4;-1701,720418
04.01.2024/00:15;SE1, SE2, SE3, SE4;-1695,50914
04.01.2024/00:30;SE1, SE2, SE3, SE4;-1692,714413
04.01.2024/00:45;SE1, SE2, SE3, SE4;-1688,664301
04.01.2024/01:00;SE1, SE2, SE3, SE4;-1667,272617
04.01.2024/01:15;SE1, SE2, SE3, SE4;-1662,979295
04.01.2024/01:30;SE1, SE2, SE3, SE4;-1659,995241
04.01.2024/01:45;SE1, SE2, SE3, SE4;-1657,698654
04.01.2024/02:00;SE1, SE2, SE3, SE4;-1649,301908
04.01.2024/02:15;SE1, SE2, SE3, SE4;-1647,236595
04.01.2024/02:30;SE1, SE2, SE3, SE4;-1646,054217
04.01.2024/02:45;SE1, SE2, SE3, SE4;-1646,683077
04.01.2024/03:00;SE1, SE2, SE3, SE4;-1648,246701
04.01.2024/03:15;SE1, SE2, SE3, SE4;-1651,009228
04.01.2024/03:30;SE1, SE2, SE3, SE4;-1649,451559
04.01.2024/03:45;SE1, SE2, SE3, SE4;-1648,366554
04.01.2024/04:00;SE1, SE2, SE3, SE4;-1668,621502
04.01.2024/04:15;SE1, SE2, SE3, SE4;-1667,922002
04.01.2024/04:30;SE1, SE2, SE3, SE4;-1671,135977
04.01.2024/04:45;SE1, SE2, SE3, SE4;-1672,751125
04.01.2024/05:00;SE1, SE2, SE3, SE4;-1708,979103
04.01.2024/05:15;SE1, SE2, SE3, SE4;-1711,738306
04.01.2024/05:30;SE1, SE2, SE3, SE4;-1716,745208
04.01.2024/05:45;SE1, SE2, SE3, SE4;-1718,829739
04.01.2024/06:00;SE1, SE2, SE3, SE4;-1766,12881
04.01.2024/06:15;SE1, SE2, SE3, SE4;-1767,877979
04.01.2024/06:30;SE1, SE2, SE3, SE4;-1767,584139
04.01.2024/06:45;SE1, SE2, SE3, SE4;-1772,607983
04.01.2024/07:00;SE1, SE2, SE3, SE4;-1820,55921
04.01.2024/07:15;SE1, SE2, SE3, SE4;-1826,146167
04.01.2024/07:30;SE1, SE2, SE3, SE4;-1837,501463
04.01.2024/07:45;SE1, SE2, SE3, SE4;-1841,849625
04.01.2024/08:00;SE1, SE2, SE3, SE4;-1881,483519
